301	0133093	Матрыца
312	0347436	Уладар пярсцёнкаў: Дзве Вежы (субцітры)
319	0181852	Тэрмінатар 3: Паўстанне машынаў (Субцітры)
326	0111161	Выкупленне з Шаўшэнку
328	0120737	Уладар пярсцёнкаў: Звяз Пярсцёнка (субцітры)
336	0073486	Палёт над гняздом зязюлі
341	0211915	Неверагодны лёс Амэлі Пулен
342	0110912	Крымінальнае чытво
345	0102926	Маўчанне ягнят
346	0050083	12 раз’юшаных мужчын
348	0038650	Гэта цудоўнае жыццё
356	0053291	Хтосьці любіць гарачае
361	0137523	Байцоўскі клуб
367	0180093	Рэквіем па мары
370	0245429	Скрадзеныя прывідамі
389	0110413	Леон
399	0112573	Адважнае сэрца
403	0083658	Бегчы па лязе
410	0246578	Доні Дарка
414	0021749	Гарадскія агні
425	0050976	Сёмая пячатка
430	0126029	Шрэк
441	0119698	Прынцэса Мананоке
444	0103064	Тэрмінатар 2: Судны дзень
448	0109830	Форэст Гамп
456	0031381	Знесеныя ветрам
458	0198781	Карпарацыя монстраў
474	0172495	Гладыятар
476	0088763	Назад у будучыню
482	0114709	Гісторыя цацак
499	0181865	Наркагандаль
507	0088247	Тэрмінатар
519	0095953	Чалавек дажджу
522	0120735	Зёлы, грошы, два ружжы
525	0097499	Генрыx V
526	0208092	Сарваць куш
555	0118715	Вялікі Лябоўскі
570	0105151	Гулец
585	0248667	Алі
594	0212720	Штучны розум (субцітры)
607	0247199	Вернік
636	0241303	Шакалад
645	0256524	Пракляцце нефрытавага скарпіёна
660	0157583	Энігма
665	0297884	Далёка да раю
683	0280707	Госфард-Парк
689	0241527	Гары Потэр і філасофскі камень
692	0125022	Узломшчыцы сэрцаў
707	0268380	Ледніковы перыяд (субцітры)
719	0261392	Джэй и Маўклівы Боб б'юць у адказ
736	0146984	Легенда Бэгера Вэнса
768	0171580	Медсястра Бэці
784	0254686	Піяністка
797	0250687	Навыперадкі (Пацучыныя гонкі)
834	0196216	Дробныя круцялі
841	0227538	Дзеці шпіёнаў
842	0287717	Дзеці шпіёнаў 2: Востраў страчаных мар
854	0183869	Таксі 2
864	0133240	Планета скарбаў
875	0281358	Спяшайся любіць (Незабыўны шпацыр)
877	0277434	Мы былі жаўнерамі
880	0207201	Чаго хочуць жанчыны
882	0283139	Белы алеандр
883	0190138	Усе дзевяць ярдаў (субцітры)
1551	0322700	Знакамітая праца
1596	0118954	Разбіраючы Гары
1793	0354899	Навука сну
1828	0307987	Дрэнны Санта
1875	0180207	Першая сустрэчная
2037	0099348	Танцы з ваўкамі
2127	0012349	Малыш
2207	0338459	Дзеці шпіёнаў 3: Канец гульні
2238	0088944	Камандас
2260	0120855	Тарзан
2272	0112817	Мярцвяк (Субцітры)
2357	0119282	Геркулес
2428	0097814	Ведзьміна дастаўка
2514	0116130	Апусціць перыскоп
2520	0163187	Збеглая нявеста
2538	0088128	Шаснаццаць свечак
2609	0119173	Шараговец Джэйн
2610	0118158	Белы шквал
2656	0119116	Пяты элемент
2899	0261289	Развод па-амерыканску
3409	0018578	Крылы (Субцітры)
3426	0289635	Малады Адам
3469	0120794	Прынц Егіпта (субцітры)
3502	0120684	Багі і пачвары
3506	0114279	Рычард ІІІ
3563	0165832	Траса 60
